,0
430,3.45
431,32.47
432,4.7
433,4.74
434,10.21
435,2.72
436,5.62
437,10.08
438,23.04
439,37.84
440,10.24
441,13.53
442,9.37
443,3.56
444,2.46
445,3.55
446,5.69
447,11.89
448,5.72
449,12.18
450,20.73
451,4.92
452,2.19
453,4.91
454,6.41
455,10.87
456,4.18
457,10.36
458,32.81
459,30.4
460,3.46
461,7.91
462,3.22
463,10.27
464,2.42
465,3.86
466,3.22
467,19.01
468,1.3
469,4.87
470,24.86
471,3.01
472,3.36
473,3.76
474,1.97
475,4.84
476,2.78
477,4.16
478,0.96
479,10.74
480,4.32
481,19.39
482,4.89
483,18.69
484,2.12
485,6.39
486,3.07
487,2.34
488,3.96
489,4.6
490,3.23
491,7.85
492,2.32
493,3.29
494,31.22
495,1.26
496,5.12
497,8.36
498,3.91
499,11.41
500,5.16
501,9.68
502,2.41
503,6.59
504,3.54
505,3.37
506,3.69
507,1.33
508,5.26
509,6.28
510,2.95
511,3.46
512,4.36
513,6.24
514,13.22
515,4.88
516,3.89
517,4.56
518,3.03
519,6.55
520,11.17
521,3.7
522,3.77
523,4.74
524,10.56
525,3.23
526,3.66
527,5.93
528,5.81
529,2.59
530,7.55
531,5.24
532,9.02
533,23.06
534,7.85
535,31.11
536,5.39
537,3.45
538,11.09
539,3.05
540,2.17
541,8.75
542,2.5
543,9.63
544,18.77
545,4.58
546,6.95
547,3.22
548,5.7
549,6.32
550,2.68
551,22.89
552,7.05
553,2.81
554,6.81
555,3.39
556,31.24
557,7.0
558,3.75
559,2.94
560,21.0
561,8.8
562,7.53
563,6.53
564,5.92
565,6.24
566,5.83
567,2.71
568,3.75
569,5.97
570,4.7
571,2.97
572,18.03
573,3.59
574,15.64
575,2.14
576,5.4
577,4.09
578,3.43
579,2.94
580,5.26
581,21.07
582,8.85
583,44.17
584,27.4
585,35.33
586,18.55
587,22.25
588,7.84
589,3.66
590,4.14
591,5.23
592,6.3
593,6.28
594,21.01
595,32.51
596,5.25
597,2.2
598,5.39
599,25.77
600,32.05
601,39.22
602,3.85
603,6.43
604,5.39
605,7.38
606,2.73
607,2.1
608,24.85
609,3.9
610,3.06
611,18.9
612,21.31
613,17.04
614,10.85
615,23.82
616,6.41
617,11.24
618,2.78
619,28.45
620,2.53
621,22.34
622,4.8
623,17.05
624,46.59
625,12.57
626,5.87
627,5.01
628,9.43
629,4.08
630,3.72
631,5.15
632,1.99
633,2.44
634,31.1
635,6.61
636,4.89
637,2.89
638,6.76
639,8.97
640,18.68
641,8.57
642,6.96
643,2.2
644,12.29
645,4.06
646,10.21
647,3.26
648,3.81
649,5.71
650,4.12
651,24.32
652,16.32
653,5.24
654,2.44
655,21.37
656,5.51
657,9.87
658,6.64
659,3.53
660,40.44
661,23.61
662,2.22
663,4.13
664,1.92
665,4.67
666,5.1
667,2.26
668,4.09
669,6.01
670,1.69
671,6.59
672,10.77
673,1.57
674,30.2
675,34.1
676,6.47
677,3.2
678,2.73
679,2.92
680,4.9
681,5.63
682,6.3
683,6.0
684,21.36
685,5.91
686,3.69
687,5.63
688,6.97
689,8.9
690,6.84
691,8.75
692,4.37
693,1.18
694,6.39
695,6.77
696,38.76
697,5.4
698,19.84
699,10.11
700,6.41
701,5.01
702,1.74
703,2.94
704,3.89
705,5.56
706,8.0
707,11.92
708,8.76
709,0.56
710,4.21
711,5.52
712,4.56
713,29.37
714,7.85
715,1.65
716,8.06
717,5.35
718,4.83
719,2.89
720,5.22
721,1.55
722,7.94
723,3.4
724,2.42
725,9.25
726,5.69
727,2.98
728,13.31
729,4.21
730,1.68
731,6.61
732,2.56
733,1.84
734,22.8
735,21.39
736,5.53
737,4.32
738,3.97
739,2.4
740,4.42
741,3.43
742,3.87
743,3.77
744,3.86
745,5.33
746,16.99
747,4.92
748,10.04
749,4.24
750,11.24
751,19.91
752,11.66
753,5.47
754,28.55
755,5.48
756,3.24
757,14.48
758,3.58
759,1.34
760,3.7
761,4.62
762,4.89
763,4.06
764,4.72
765,14.5
766,6.97
767,8.5
768,2.78
769,9.65
770,5.38
771,8.87
772,5.54
773,4.37
774,5.51
775,3.15
776,2.86
777,13.32
778,4.29
779,2.24
780,60.6
781,1.63
782,3.34
783,13.8
784,4.42
785,17.88
786,3.55
787,3.05
788,13.55
789,18.33
790,19.32
791,5.08
792,2.99
793,6.75
794,1.89
795,4.53
796,3.95
797,3.53
798,37.63
799,20.9
800,5.05
801,6.39
802,44.62
803,4.01
804,6.38
805,3.41
806,4.69
807,8.57
808,35.33
809,4.7
810,3.46
811,12.87
812,5.6
813,9.89
814,6.63
815,16.63
816,3.25
817,7.16
818,7.38
819,27.63
820,2.08
821,2.2
822,5.33
823,5.72
824,3.77
825,40.94
826,3.89
827,7.17
828,1.43
829,6.7
830,3.67
831,2.85
832,5.67
833,5.71
834,3.33
835,4.4
836,3.18
837,26.56
838,6.04
839,6.47
840,3.34
841,3.59
842,6.52
843,29.05
844,8.86
845,8.8
846,10.01
847,5.62
848,3.03
849,4.46
850,2.15
851,9.83
852,9.66
853,3.55
854,7.68
855,4.54
856,6.51
857,10.47
858,23.4
859,8.74
860,24.15
861,5.11
862,11.71
863,5.27
864,5.81
865,1.55
866,4.6
867,5.73
868,3.86
869,4.8
870,2.24
871,10.88
872,10.96
873,3.48
874,4.84
875,6.81
876,19.72
877,14.99
878,5.8
879,3.4
880,1.36
881,5.74
882,2.56
883,5.04
884,7.82
885,3.06
886,1.77
887,3.07
888,6.54
889,4.44
890,0.94
891,3.62
892,6.51
893,7.94
894,12.91
895,6.96
896,1.57
897,5.28
898,3.08
899,3.76
900,6.82
901,6.25
902,16.56
903,7.18
904,4.44
905,14.72
906,7.79
907,6.33
908,2.08
909,6.01
910,69.42
911,9.65
912,19.75
913,3.59
914,50.18
915,4.65
916,11.81
917,4.3
918,3.31
919,2.79
920,3.97
921,7.12
922,5.73
923,3.87
924,6.71
925,21.81
926,13.38
927,10.68
928,3.65
929,5.8
930,5.65
931,9.35
932,6.08
933,3.68
934,5.37
935,2.55
936,8.01
937,4.52
938,4.55
939,12.25
940,4.14
941,3.13
942,6.13
943,6.23
944,61.39
945,4.59
946,4.2
947,11.51
948,10.14
949,7.06
950,14.7
951,5.33
952,22.44
953,4.42
954,9.5
955,3.64
956,8.65
957,10.69
958,4.34
959,4.99
960,5.17
961,17.4
962,7.91
963,2.71
964,5.66
965,5.85
966,26.45
967,4.33
968,4.17
969,9.52
970,38.01
971,5.57
972,4.55
973,24.29
974,3.74
975,5.18
976,3.48
977,3.06
978,9.58
979,3.46
980,23.55
981,11.16
982,2.15
983,3.54
984,4.06
985,2.53
986,2.15
987,8.38
988,2.74
989,10.54
990,8.46
991,6.43
992,6.6
993,11.38
994,3.5
995,5.43
996,5.94
997,2.5
998,2.44
999,2.38
1000,6.16
1001,8.54
1002,15.45
1003,4.83
1004,3.29
1005,3.74
1006,4.41
1007,23.68
1008,3.8
1009,4.4
1010,4.61
1011,7.09
1012,14.53
1013,3.87
1014,2.71
1015,11.59
1016,10.52
1017,1.22
1018,20.97
1019,11.22
1020,8.72
1021,2.56
1022,19.38
1023,4.0
1024,11.19
1025,45.38
1026,7.67
1027,6.5
1028,7.94
1029,4.9
1030,8.56
1031,2.31
1032,3.36
1033,7.86
1034,7.93
1035,5.34
1036,11.53
1037,4.12
1038,11.04
1039,13.66
1040,5.54
1041,2.55
1042,5.75
1043,56.82
1044,5.6
1045,4.98
1046,6.42
1047,5.29
1048,5.08
1049,26.83
1050,2.32
1051,0.93
1052,2.98
1053,2.61
1054,9.41
1055,5.26
1056,2.9
1057,28.56
1058,9.89
1059,5.78
1060,4.39
1061,10.28
1062,3.81
1063,21.61
1064,9.52
1065,12.16
1066,59.52
1067,3.95
1068,7.46
1069,15.34
1070,1.95
1071,17.46
1072,4.47
1073,21.48
1074,1.2
1075,19.85
1076,3.31
1077,5.48
1078,6.19
1079,4.18
1080,6.26
1081,34.8
1082,19.89
1083,2.27
1084,2.22
1085,2.03
1086,1.12
1087,2.28
1088,2.65
1089,4.83
1090,7.23
1091,2.77
1092,12.67
1093,9.45
1094,9.05
1095,1.98
1096,2.81
1097,3.16
1098,12.74
1099,15.33
1100,4.66
1101,16.86
1102,6.66
1103,22.41
1104,37.23
1105,31.05
1106,14.43
1107,4.89
1108,19.64
1109,24.04
1110,2.83
1111,4.96
1112,12.57
1113,1.99
1114,6.96
1115,6.21
1116,18.24
1117,6.12
1118,34.85
1119,3.14
1120,19.65
1121,8.96
1122,1.28
1123,11.03
1124,34.75
1125,6.39
1126,4.77
1127,6.31
1128,11.46
1129,2.38
1130,1.6
1131,3.43
1132,11.99
1133,5.12
1134,1.27
1135,7.36
1136,4.63
1137,2.3
1138,19.53
1139,5.22
1140,4.22
1141,1.32
1142,3.23
1143,1.85
1144,2.35
1145,2.62
1146,36.71
1147,7.17
1148,3.92
1149,5.49
1150,4.3
1151,5.32
1152,11.94
1153,30.02
1154,11.78
1155,6.11
1156,3.7
1157,27.84
1158,8.76
1159,2.83
1160,7.09
1161,3.44
1162,8.16
1163,25.21
1164,44.68
1165,12.31
1166,9.71
1167,2.39
1168,7.48
1169,11.58
1170,3.82
1171,5.91
1172,3.57
1173,5.5
1174,3.04
1175,1.83
1176,4.36
1177,3.55
1178,4.33
1179,8.76
1180,14.75
1181,19.17
1182,5.94
1183,9.07
1184,6.41
1185,3.58
1186,12.64
1187,6.3
1188,8.83
1189,21.76
1190,4.13
1191,5.92
1192,1.97
1193,5.39
1194,6.31
1195,3.5
1196,4.14
1197,6.41
1198,2.78
1199,4.82
1200,17.97
